Prefix,TestCase ID,Title,Type,Run,Result,Log,Duration Time
,TeraClientServer_00000,"＃Setup
""Initial testing enviroment""",,1,Error,"Traceback (most recent call last):
  File ""/home/tester/Documents/pi-tester/Engine/TestEngine.py"", line 87, in _invoke_test_case
    mod = __import__('TestCases.{0}.{0}'.format(case_classify), fromlist=[case_id])
  File ""/home/tester/Documents/pi-tester/TestCases/TeraClientServer/TeraClientServer.py"", line 8, in <module>
    import jwt
ImportError: No module named jwt
",0
,TeraClientServer_01001,POST /api/login,,0,,,
,TeraClientServer_01002,GET /api/devices,,1,Error,"Traceback (most recent call last):
  File ""/home/tester/Documents/pi-tester/Engine/TestEngine.py"", line 87, in _invoke_test_case
    mod = __import__('TestCases.{0}.{0}'.format(case_classify), fromlist=[case_id])
  File ""/home/tester/Documents/pi-tester/TestCases/TeraClientServer/TeraClientServer.py"", line 8, in <module>
    import jwt
ImportError: No module named jwt
",0
,TeraClientServer_01003,"POST /api/files
Verity currentPath inode",,1,Error,"Traceback (most recent call last):
  File ""/home/tester/Documents/pi-tester/Engine/TestEngine.py"", line 87, in _invoke_test_case
    mod = __import__('TestCases.{0}.{0}'.format(case_classify), fromlist=[case_id])
  File ""/home/tester/Documents/pi-tester/TestCases/TeraClientServer/TeraClientServer.py"", line 8, in <module>
    import jwt
ImportError: No module named jwt
",0
,TeraClientServer_01004,POST /api/lock,,1,Error,"Traceback (most recent call last):
  File ""/home/tester/Documents/pi-tester/Engine/TestEngine.py"", line 87, in _invoke_test_case
    mod = __import__('TestCases.{0}.{0}'.format(case_classify), fromlist=[case_id])
  File ""/home/tester/Documents/pi-tester/TestCases/TeraClientServer/TeraClientServer.py"", line 8, in <module>
    import jwt
ImportError: No module named jwt
",0
,TeraClientServer_01005,POST /api/unlock,,1,Error,"Traceback (most recent call last):
  File ""/home/tester/Documents/pi-tester/Engine/TestEngine.py"", line 87, in _invoke_test_case
    mod = __import__('TestCases.{0}.{0}'.format(case_classify), fromlist=[case_id])
  File ""/home/tester/Documents/pi-tester/TestCases/TeraClientServer/TeraClientServer.py"", line 8, in <module>
    import jwt
ImportError: No module named jwt
",0
,TeraClientServer_01006,POST /api/erase,,1,Error,"Traceback (most recent call last):
  File ""/home/tester/Documents/pi-tester/Engine/TestEngine.py"", line 87, in _invoke_test_case
    mod = __import__('TestCases.{0}.{0}'.format(case_classify), fromlist=[case_id])
  File ""/home/tester/Documents/pi-tester/TestCases/TeraClientServer/TeraClientServer.py"", line 8, in <module>
    import jwt
ImportError: No module named jwt
",0
,TeraClientServer_01007,"GET /api/file/{inode}/download
Verify doc text data (.txt)",,1,Error,"Traceback (most recent call last):
  File ""/home/tester/Documents/pi-tester/Engine/TestEngine.py"", line 87, in _invoke_test_case
    mod = __import__('TestCases.{0}.{0}'.format(case_classify), fromlist=[case_id])
  File ""/home/tester/Documents/pi-tester/TestCases/TeraClientServer/TeraClientServer.py"", line 8, in <module>
    import jwt
ImportError: No module named jwt
",0
,TeraClientServer_01008,GET /api/files/{inode}/info,,1,Error,"Traceback (most recent call last):
  File ""/home/tester/Documents/pi-tester/Engine/TestEngine.py"", line 87, in _invoke_test_case
    mod = __import__('TestCases.{0}.{0}'.format(case_classify), fromlist=[case_id])
  File ""/home/tester/Documents/pi-tester/TestCases/TeraClientServer/TeraClientServer.py"", line 8, in <module>
    import jwt
ImportError: No module named jwt
",0
,TeraClientServer_01009,POST /api/devices/webdav/enable,,1,Error,"Traceback (most recent call last):
  File ""/home/tester/Documents/pi-tester/Engine/TestEngine.py"", line 87, in _invoke_test_case
    mod = __import__('TestCases.{0}.{0}'.format(case_classify), fromlist=[case_id])
  File ""/home/tester/Documents/pi-tester/TestCases/TeraClientServer/TeraClientServer.py"", line 8, in <module>
    import jwt
ImportError: No module named jwt
",0
